what,kind,bundleId,bundleVersion,description,time
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343240230144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343240233530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343240274135
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343240275503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343240281376
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343240282530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343240284009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343240286957
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343240287109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343240288554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343240451667
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343240452343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343240482463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343241780863
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343241783353
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343241783693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343241797274
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343241801949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343241803450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343241806716
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343241806854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343241810325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343241907972
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343241913605
