what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005219466
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005223089
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005226250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005233144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005242951
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343005432219
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005433911
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005433930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005448908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005470275
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343005474792
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005476316
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343005482675
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005483036
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005483062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005543038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005652182
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005653027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005689282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005889580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343005895415
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343005903041
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343005904890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005906458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005909809
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343005909977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343005911476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343008735046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343008739797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343008913265
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343008915533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343008935762
