what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155388279
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343155388420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155390296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155425865
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343155442892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343155450454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343155453073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343155456153
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343155459298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155460663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155464024
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343155464177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155466571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155482853
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343155493615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343155507532
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343155537328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155538672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155541502
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343155541655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155543083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155607560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155609852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155621881
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1343155623664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343155639644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343155642864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343155649631
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343155651507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155652972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155656795
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343155656932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343155660837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343156057221
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343156060316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343156092680
