what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350359722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1343350359751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350377031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343350398396
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343350400697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350402029
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343350405400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350471928
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1343350471944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350472094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350499891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350509184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350588701
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343350590338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343350598225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343350610066
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343350613483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350614879
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343350617864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350643109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350649173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343350667827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343350667827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350671600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350672986
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343350676320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343350695353
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343350708484
